11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,mention
,,
11/16/2018,giveaway,tweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,tweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RobinHood,tweet
,,
11/16/2018,RobinHood,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,tweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,tweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,tweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,tweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,RalphBreaksTheInternet,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
11/16/2018,Creed2,retweet
,,
